Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
43235,Female,1954,70,1786,3481,York St,40.71649,-74.04105,2021-01-01 13:34:11.8950,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 14:03:58.6010
44316,Male,1981,43,433,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:42:23.0390,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 13:49:36.7880
44744,Male,1979,45,1334,3187,Warren St,40.7211236,-74.03805095,2021-01-01 13:45:00.7800,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 14:07:14.9180
47257,Male,2002,22,2384,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 13:47:16.1310,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 14:27:00.5030
46530,Female,1984,40,524,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2021-01-01 13:49:02.8840,3185,City Hall,40.7177325,-74.043845,2021-01-01 13:57:47.1610
41620,Male,1974,50,173,3214,Essex Light Rail,40.7127742,-74.0364857,2021-01-01 13:53:57.6450,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:56:51.3660
48924,Male,1994,30,2177,3198,Heights Elevator,40.748715945380226,-74.04044330120087,2021-01-01 13:57:32.6730,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 14:33:50.3780
46600,Female,1986,38,280,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,2021-01-01 13:58:46.9370,3273,Manila & 1st,40.721650724879986,-74.04288411140442,2021-01-01 14:03:27.4850
30630,Female,1988,36,678,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:01:42.0410,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:13:00.2330
33630,Female,1954,70,3905,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 14:04:35.0480,3481,York St,40.71649,-74.04105,2021-01-01 15:09:40.7150
42591,Female,1994,30,3100,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 14:05:16.6040,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 14:56:57.5930
43139,Unknown,1969,55,1999,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:06:43.8850,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:40:03.2550
44185,Male,1977,47,1996,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:06:48.9870,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:40:05.9320
46326,Male,1991,33,3218,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 14:07:38.7200,3202,Newport PATH,40.7272235,-74.0337589,2021-01-01 15:01:17.4110
48913,Male,1986,38,171,3211,Newark Ave,40.72152515,-74.046304543,2021-01-01 14:09:34.6990,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,2021-01-01 14:12:25.9480
42585,Unknown,1969,55,6135,3187,Warren St,40.7211236,-74.03805095,2021-01-01 14:12:34.4410,3187,Warren St,40.7211236,-74.03805095,2021-01-01 15:54:49.6090
42219,Male,1975,49,1568,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 14:17:29.3830,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 14:43:38.2510
44685,Male,1960,64,592,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 14:20:39.2200,3483,Montgomery St,40.71942,-74.05099,2021-01-01 14:30:31.2790
45656,Male,1980,44,2291,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:30:27.0720,3213,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 15:08:38.6210
42455,Unknown,1969,55,1708,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 14:31:15.1460,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,2021-01-01 14:59:43.4460
43235,Male,1998,26,208,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 14:33:23.5190,3638,Washington St,40.7242941,-74.0354826,2021-01-01 14:36:51.9140
48924,Male,1994,30,2358,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 14:36:04.8070,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 15:15:22.9880
46609,Female,1995,29,1142,3483,Montgomery St,40.71942,-74.05099,2021-01-01 14:37:00.9250,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 14:56:03.7570
42546,Male,1984,40,661,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 14:38:50.7840,3681,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 14:49:51.8680
32095,Male,1969,55,826,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 14:42:37.7170,3193,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 14:56:24.2270
47255,Male,1997,27,166,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 14:42:37.7260,3184,Paulus Hook,40.7141454,-74.0335519,2021-01-01 14:45:24.2860
43090,Male,1991,33,2986,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 14:43:32.9040,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:33:19.3560
